,Names,Ratings,features,links,images
0,"APPLE iPhone 13 (Midnight, 128 GB)","2,60,783 Ratings & 12,816 Reviews",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_1&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70
1,"APPLE iPhone 13 (Blue, 128 GB)","2,60,783 Ratings & 12,816 Reviews",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGTJUCOX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBG6VF5SMXPNQHG.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70
2,"APPLE iPhone 13 (Pink, 128 GB)","2,60,783 Ratings & 12,816 Reviews",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,https://www.flipkart.com/apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YSGQY4O&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70
3,"APPLE iPhone 13 (Starlight, 128 GB)","2,60,783 Ratings & 12,816 Reviews",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFXBT5ONJ&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=b_1_4&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBG6VF5ADKHKXFX.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70
4,"APPLE iPhone 14 (Blue, 128 GB)","49,829 Ratings & 1,899 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",https://www.flipkart.com/apple-iphone-14-blue-128-gb/p/itmdb77f40da6b6d?pid=MOBGHWFHSV7GUFWA&lid=LSTMOBGHWFHSV7GUFWAY05S0C&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBGHWFHSV7GUFWA.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
5,"APPLE iPhone 13 (Green, 128 GB)","2,60,783 Ratings & 12,816 Reviews",128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip ProcessorBrand Warranty for 1 Year,https://www.flipkart.com/apple-iphone-13-green-128-gb/p/itm18a55937b2607?pid=MOBGC9VGSU9DWGJZ&lid=LSTMOBGC9VGSU9DWGJZUXUVYB&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBGC9VGSU9DWGJZ.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70
6,"APPLE iPhone 11 (Black, 64 GB)","2,01,311 Ratings & 11,432 Reviews",64 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,https://www.flipkart.com/apple-iphone-11-black-64-gb/p/itm4e5041ba101fd?pid=MOBFWQ6BXGJCEYNY&lid=LSTMOBFWQ6BXGJCEYNYHWAXCG&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBFWQ6BXGJCEYNY.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/j/s/iphone-11-128-d-mwm02hn-a-apple-0-original-imafkg242ugz8hwc.jpeg?q=70
7,"APPLE iPhone 11 (Black, 128 GB)","2,01,311 Ratings & 11,432 Reviews",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip ProcessorBrand Warranty of 1 Year,https://www.flipkart.com/apple-iphone-11-black-128-gb/p/itm8244e8d955aba?pid=MOBFWQ6BKRYBP5X8&lid=LSTMOBFWQ6BKRYBP5X8HS0EXP&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBFWQ6BKRYBP5X8.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/j/s/iphone-11-128-d-mwm02hn-a-apple-0-original-imafkg242ugz8hwc.jpeg?q=70
8,"APPLE iPhone 14 (Midnight, 128 GB)","49,829 Ratings & 1,899 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",https://www.flipkart.com/apple-iphone-14-midnight-128-gb/p/itm9e6293c322a84?pid=MOBGHWFHECFVMDCX&lid=LSTMOBGHWFHECFVMDCXSSCYWA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBGHWFHECFVMDCX.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
9,"APPLE iPhone 14 (Starlight, 128 GB)","49,829 Ratings & 1,899 Reviews","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories",https://www.flipkart.com/apple-iphone-14-starlight-128-gb/p/itm3485a56f6e676?pid=MOBGHWFHABH3G73H&lid=LSTMOBGHWFHABH3G73HVXY5AV&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=CLP_Filters&fm=organic&iid=452bcd5d-395b-4c62-b16e-10ce33a394e2.MOBGHWFHABH3G73H.SEARCH&ppt=None&ppn=None&ssid=ohss27hk9s0000001696154855126,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
